                                                                                             	/home/glatard/code/one-voxel/results/onevoxel vs /home/glatard/code/one-voxel/results/regular	
report/assets/select2/select2.min.css                                                        	                                             0                                              	
report/assets/jquery/LICENSE.txt                                                             	                                             0                                              	
report/assets/jquery/jquery.min.js                                                           	                                             0                                              	
report/assets/pretty-json/pretty-json-min.js                                                 	                                             0                                              	
report/assets/pretty-json/pretty-json.css                                                    	                                             0                                              	
report/assets/pretty-json/LICENSE.txt                                                        	                                             0                                              	
report/assets/d3js/LICENSE                                                                   	                                             0                                              	
report/assets/d3js/d3.min.js                                                                 	                                             0                                              	
report/assets/c3js/c3.min.css                                                                	                                             0                                              	
report/assets/c3js/LICENSE                                                                   	                                             0                                              	
report/assets/c3js/c3.min.js                                                                 	                                             0                                              	
report/registration.html                                                                     	                                             0                                              	
report/registration/sub02_anat.png                                                           	                                             1                                              	
report/registration/sub01_anat_raw.png                                                       	                                             1                                              	
report/registration/sub02_func.png                                                           	                                             1                                              	
report/registration/sub01_func.png                                                           	                                             1                                              	
report/registration/sub01_anat.png                                                           	                                             1                                              	
report/registration/sub02_anat_raw.png                                                       	                                             1                                              	
report/group/average_func_stereotaxic.png                                                    	                                             1                                              	
report/group/listRun.js                                                                      	                                             0                                              	
report/group/mask_func_group_stereotaxic.png                                                 	                                             1                                              	
report/group/average_t1_stereotaxic.png                                                      	                                             1                                              	
report/group/outline.png                                                                     	                                             0                                              	
report/group/template_stereotaxic.png                                                        	                                             0                                              	
report/group/template_stereotaxic_raw.png                                                    	                                             0                                              	
report/group/listSubject.js                                                                  	                                             0                                              	
report/group/average_mask_func_stereotaxic.png                                               	                                             1                                              	
report/group.html                                                                            	                                             0                                              	
report/motion.css                                                                            	                                             0                                              	
intermediate/sub01/motion_correction/motion_Bsession_sub01_sesstest.mat                      	                                             1                                              	
intermediate/sub01/motion_correction/motion_parameters_sub01_sessretest_taskrest.mat         	                                             1                                              	
intermediate/sub01/motion_correction/motion_target_sub01_sessretest_taskrest.nii.gz          	                                             1                                              	
intermediate/sub01/motion_correction/motion_Wrun_sub01_sessretest_taskrest.mat               	                                             1                                              	
intermediate/sub01/motion_correction/motion_Wrun_sub01_sesstest_taskrest.mat                 	                                             1                                              	
intermediate/sub01/motion_correction/motion_target_sub01_sesstest_taskrest.nii.gz            	                                             1                                              	
intermediate/sub01/motion_correction/motion_parameters_sub01_sesstest_taskrest.mat           	                                             1                                              	
intermediate/sub01/regress_confounds/scrubbing_sub01_sesstest_taskrest.mat                   	                                             1                                              	
intermediate/sub01/regress_confounds/fmri_sub01_sessretest_taskrest_cor_extra.mat            	                                             1                                              	
intermediate/sub01/regress_confounds/scrubbing_sub01_sessretest_taskrest.mat                 	                                             1                                              	
intermediate/sub01/regress_confounds/fmri_sub01_sesstest_taskrest_mask_compcor_stereo.nii.gz 	                                             1                                              	
intermediate/sub01/regress_confounds/fmri_sub01_sesstest_taskrest_cor_extra.mat              	                                             1                                              	
intermediate/sub01/regress_confounds/fmri_sub01_sessretest_taskrest_mask_compcor_stereo.nii.gz	                                             1                                              	
intermediate/sub01/slice_timing/fmri_sub01_sessretest_taskrest_a_extra.mat                   	                                             1                                              	
intermediate/sub01/slice_timing/fmri_sub01_sesstest_taskrest_a_extra.mat                     	                                             1                                              	
intermediate/sub01/time_filter/fmri_sub01_sessretest_taskrest_n_dc_high.mat                  	                                             1                                              	
intermediate/sub01/time_filter/fmri_sub01_sessretest_taskrest_n_dc_low.mat                   	                                             1                                              	
intermediate/sub01/time_filter/fmri_sub01_sesstest_taskrest_n_dc_low.mat                     	                                             1                                              	
intermediate/sub01/time_filter/fmri_sub01_sesstest_taskrest_n_dc_high.mat                    	                                             1                                              	
intermediate/sub02/motion_correction/motion_parameters_sub02_sesstest_taskrest.mat           	                                             1                                              	
intermediate/sub02/motion_correction/motion_Wrun_sub02_sessretest_taskrest.mat               	                                             1                                              	
intermediate/sub02/motion_correction/motion_target_sub02_sessretest_taskrest.nii.gz          	                                             1                                              	
intermediate/sub02/motion_correction/motion_Wrun_sub02_sesstest_taskrest.mat                 	                                             1                                              	
intermediate/sub02/motion_correction/motion_parameters_sub02_sessretest_taskrest.mat         	                                             1                                              	
intermediate/sub02/motion_correction/motion_target_sub02_sesstest_taskrest.nii.gz            	                                             1                                              	
intermediate/sub02/motion_correction/motion_Bsession_sub02_sesstest.mat                      	                                             1                                              	
intermediate/sub02/regress_confounds/fmri_sub02_sesstest_taskrest_cor_extra.mat              	                                             1                                              	
intermediate/sub02/regress_confounds/fmri_sub02_sessretest_taskrest_cor_extra.mat            	                                             1                                              	
intermediate/sub02/regress_confounds/fmri_sub02_sesstest_taskrest_mask_compcor_stereo.nii.gz 	                                             1                                              	
intermediate/sub02/regress_confounds/scrubbing_sub02_sessretest_taskrest.mat                 	                                             1                                              	
intermediate/sub02/regress_confounds/fmri_sub02_sessretest_taskrest_mask_compcor_stereo.nii.gz	                                             1                                              	
intermediate/sub02/regress_confounds/scrubbing_sub02_sesstest_taskrest.mat                   	                                             1                                              	
intermediate/sub02/slice_timing/fmri_sub02_sesstest_taskrest_a_extra.mat                     	                                             1                                              	
intermediate/sub02/slice_timing/fmri_sub02_sessretest_taskrest_a_extra.mat                   	                                             1                                              	
intermediate/sub02/time_filter/fmri_sub02_sesstest_taskrest_n_dc_high.mat                    	                                             1                                              	
intermediate/sub02/time_filter/fmri_sub02_sessretest_taskrest_n_dc_high.mat                  	                                             1                                              	
